x,Curve1
0.0135058,0.0615173
0.169012,0.061577
0.298643,0.0593657
0.454234,0.0551428
0.583907,0.051212
0.778374,0.0475807
0.94705,0.039511
1.12864,0.0340623
1.37511,0.0272608
1.64763,0.0195062
1.88122,0.0144855
2.05032,0.00827723
2.21946,0.0045562
2.47931,0.00250937
2.5707,0.00138061
2.72683,0.000788839
2.85731,0.000360107
2.90986,0.00019081
3.16912,0.000177351
3.4803,0.000153017
3.83023,0.000147725
4.12871,0.000101841
4.40109,8.15189e-05
4.67395,4.32536e-05
4.85608,2.29373e-05
5.01235,1.17154e-05
5.11682,5.76232e-06
5.16954,2.62924e-06
5.19647,1.07224e-06
