x,Curve1
0.231921,6.69185e-05
0.258332,5.05515e-05
0.297213,3.47797e-05
0.303694,5.05184e-05
0.385017,2.43678e-05
0.389192,4.95342e-05
0.442966,6.67431e-05
0.452624,0.000560651
0.488118,0.00103783
0.493411,1.55519e-05
0.653113,1.04959e-05
0.660195,0.000783383
0.973398,0.000591111
1.14432,0.000406651
1.45075,0.000307031
1.76158,0.000324463
1.96219,0.000489051
2.0709,0.00310428
2.71179,0.00542913
3.22253,0.00450137
3.70755,0.00402207
4.08546,0.00475611
4.21981,0.0067803
4.96078,0.00541585
5.6462,0.00449115
7.08137,0.00379303
9.07497,0.00378922
9.89273,0.0040061
